wav_filename,wav_filesize,transcript
/data/TEDxSK/cut/811_tedxsk_male_0.wav,55532,a naša skupina sa zaoberá 
/data/TEDxSK/cut/811_tedxsk_male_1.wav,88236,výskumom vlastných elektromagnetických polí 
/data/TEDxSK/cut/811_tedxsk_male_2.wav,71916,vlastného žiarenia živých organizmov
/data/TEDxSK/cut/811_tedxsk_male_3.wav,72044,začal už a teraz začne ešte šťastnejšie možno
/data/TEDxSK/cut/811_tedxsk_male_4.wav,57196,biomedicínskeho inžinierstva 
/data/TEDxSK/cut/811_tedxsk_male_5.wav,33612,som sa raz dočítal
/data/TEDxSK/cut/811_tedxsk_male_6.wav,36268,že všetko živé 
/data/TEDxSK/cut/811_tedxsk_male_7.wav,64108,svieti slabým svetlom a že sa to dá vraj merať
/data/TEDxSK/cut/811_tedxsk_male_8.wav,76748,dovtedy som bol nielen motivovaný študent
/data/TEDxSK/cut/811_tedxsk_male_9.wav,101388,ale štúdium pre mňa nebolo nejakou veľkou výzvou alebo náplňou
/data/TEDxSK/cut/811_tedxsk_male_10.wav,79596,keď som sa dočítal o tomto fakte
/data/TEDxSK/cut/811_tedxsk_male_11.wav,106156,to ma tak fascinovalo a nadchlo že som chcel zistiť čo je na tom pravdy
/data/TEDxSK/cut/811_tedxsk_male_12.wav,30732,či je to skutočne tak
/data/TEDxSK/cut/811_tedxsk_male_13.wav,29036,a ako to funguje
/data/TEDxSK/cut/811_tedxsk_male_14.wav,54668,preto som sa rozhodol
/data/TEDxSK/cut/811_tedxsk_male_15.wav,67340,že sa stanem vedcom
/data/TEDxSK/cut/811_tedxsk_male_16.wav,75692,pretože budem môcť tento fenomén študovať
/data/TEDxSK/cut/811_tedxsk_male_17.wav,62796,taktiež som pochopil že
/data/TEDxSK/cut/811_tedxsk_male_18.wav,71020,mať akýsi cieľ akúsi víziu 
/data/TEDxSK/cut/811_tedxsk_male_19.wav,100204,je niečo strašne dôležité pretože toto vo mne vbuď vzbudilo 
/data/TEDxSK/cut/811_tedxsk_male_20.wav,40172,vnútornú motiváciu
/data/TEDxSK/cut/811_tedxsk_male_21.wav,56524,a zistil som že keď mám cieľ 
/data/TEDxSK/cut/811_tedxsk_male_22.wav,54348,to bol obrovský zlomový moment v mojom živote
/data/TEDxSK/cut/811_tedxsk_male_23.wav,66124,tak teraz to je taká aktuálna fotka 
/data/TEDxSK/cut/811_tedxsk_male_24.wav,130700,predtým to vyzeralo tak a vpravo vidíte ako to vyzerá teraz v laboratóriu 
/data/TEDxSK/cut/811_tedxsk_male_25.wav,96108,aké slabé je to vlastné vyžarovanie 
/data/TEDxSK/cut/811_tedxsk_male_26.wav,87084,elektromagnetické vyžarovanie organizmov
/data/TEDxSK/cut/811_tedxsk_male_27.wav,96812,a napriek tomu stále to je obrovské množstvo fotónov
/data/TEDxSK/cut/811_tedxsk_male_28.wav,43852,základných častíc svetla 
/data/TEDxSK/cut/811_tedxsk_male_29.wav,54348,ktoré tento malý plamienok vyžaruje 
/data/TEDxSK/cut/811_tedxsk_male_30.wav,56012,je to šesťkrát desať na sedemnástu 
/data/TEDxSK/cut/811_tedxsk_male_31.wav,86028,fotónov za sekundu na centimeter štvorcový
/data/TEDxSK/cut/811_tedxsk_male_32.wav,81804,teda šesť šestka a za tým sedemnásť núl
/data/TEDxSK/cut/811_tedxsk_male_33.wav,95660,ako to súvisí aby sme to dali do porovnania s tým slabým
/data/TEDxSK/cut/811_tedxsk_male_34.wav,65708,ešte slabším vyžarovaním živých organizmov
/data/TEDxSK/cut/811_tedxsk_male_35.wav,56556,vzdušnou čiarou 
/data/TEDxSK/cut/811_tedxsk_male_36.wav,58764,postavím sa na nejakú vysokú vežu
